pm25,pm10,co,no2,so2,o3,aqi_index,timestamp,station_name,station_lat,station_lon,city,country,source,nearest_factory_distance_km
39.3,87.0,0.717,24.1,14.4,23.6,61.975,2025-03-13 18:30:00+00:00,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,Ahmedabad,India,openaq,0.7086138787986331
39.3,87.0,0.717,24.1,14.4,19.5,61.975,2025-03-14 18:30:00+00:00,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,Ahmedabad,India,openaq,0.7086138787986331
39.3,87.0,0.717,24.2,14.4,18.5,61.975,2025-03-15 18:30:00+00:00,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,Ahmedabad,India,openaq,0.7086138787986331
39.3,87.0,0.717,24.2,14.4,14.1,61.975,2025-03-16 18:30:00+00:00,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,Ahmedabad,India,openaq,0.7086138787986331
39.3,87.0,0.717,24.2,14.4,15.2,61.975,2025-03-17 18:30:00+00:00,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,Ahmedabad,India,openaq,0.7086138787986331
39.3,87.0,0.717,24.1,14.4,14.3,61.975,2025-03-18 18:30:00+00:00,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,Ahmedabad,India,openaq,0.7086138787986331
39.3,87.0,0.717,24.2,14.4,15.9,61.975,2025-03-19 18:30:00+00:00,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,Ahmedabad,India,openaq,0.7086138787986331
39.3,87.0,0.717,24.1,14.4,29.5,61.975,2025-03-20 18:30:00+00:00,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,Ahmedabad,India,openaq,0.7086138787986331
39.3,87.0,0.717,24.1,14.4,23.0,61.975,2025-03-21 18:30:00+00:00,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,Ahmedabad,India,openaq,0.7086138787986331
39.3,87.0,0.717,24.1,14.4,19.9,61.975,2025-03-22 18:30:00+00:00,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,Ahmedabad,India,openaq,0.7086138787986331
39.3,87.0,0.717,26.2,14.4,4.19,61.975,2025-03-23 18:30:00+00:00,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,Ahmedabad,India,openaq,0.7086138787986331
39.3,87.0,0.717,24.1,14.4,24.6,61.975,2025-03-24 18:30:00+00:00,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,Ahmedabad,India,openaq,0.7086138787986331
39.3,87.0,0.717,24.2,14.4,35.4,61.975,2025-03-25 18:30:00+00:00,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,Ahmedabad,India,openaq,0.7086138787986331
39.3,87.0,0.717,24.2,14.4,33.4,61.975,2025-03-26 18:30:00+00:00,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,Ahmedabad,India,openaq,0.7086138787986331
39.3,87.0,0.717,24.2,14.4,13.7,61.975,2025-03-27 18:30:00+00:00,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,Ahmedabad,India,openaq,0.7086138787986331
39.3,87.0,0.717,24.1,14.4,9.15,61.975,2025-03-28 18:30:00+00:00,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,Ahmedabad,India,openaq,0.7086138787986331
39.3,87.0,0.717,24.2,14.4,12.2,61.975,2025-03-29 18:30:00+00:00,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,Ahmedabad,India,openaq,0.7086138787986331
39.3,87.0,0.717,24.2,14.4,14.1,61.975,2025-03-30 18:30:00+00:00,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,Ahmedabad,India,openaq,0.7086138787986331
39.3,87.0,0.717,24.2,14.4,12.4,61.975,2025-03-31 18:30:00+00:00,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,Ahmedabad,India,openaq,0.7086138787986331
39.3,87.0,0.717,24.2,14.4,16.2,61.975,2025-04-01 18:30:00+00:00,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,Ahmedabad,India,openaq,0.7086138787986331
39.3,87.0,0.717,24.2,14.4,52.2,61.975,2025-04-02 18:30:00+00:00,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,Ahmedabad,India,openaq,0.7086138787986331
39.3,87.0,0.717,24.2,14.4,27.8,61.975,2025-04-03 18:30:00+00:00,"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,Ahmedabad,India,openaq,0.7086138787986331
