factory_id,factory_name,industry_type,latitude,longitude,city,state,country,source,osm_id,last_updated
osm_496730218,Pyare Lal Ashok Leyland,works,28.7786707,77.1428523,Delhi,Delhi,India,overpass,496730218,2026-03-14T21:24:49.995096+00:00
osm_10228035994,Gladico Motocorp,works,28.4918112,77.3030891,Delhi,Delhi,India,overpass,10228035994,2026-03-14T21:24:49.995096+00:00
osm_10939758192,Delhi Industrial Site 10939758192,works,28.7521263,77.1618505,Delhi,Delhi,India,overpass,10939758192,2026-03-14T21:24:49.995096+00:00
osm_10989528395,Hansraj and Sons,works,28.7443758,77.1538854,Delhi,Delhi,India,overpass,10989528395,2026-03-14T21:24:49.995096+00:00
osm_11021593710,Himalayan Engineering Services,works,28.7476917,77.1645738,Delhi,Delhi,India,overpass,11021593710,2026-03-14T21:24:49.995096+00:00
osm_11698050895,ishant container line,works,28.5047341,77.2766133,Delhi,Delhi,India,overpass,11698050895,2026-03-14T21:24:49.995096+00:00
osm_12698411271,Cluster Bus Depot Dwarka Sector 22,depot,28.5541847,77.0529077,Delhi,Delhi,India,overpass,12698411271,2026-03-14T21:24:49.995096+00:00
osm_12713991931,Servotron,works,28.6236193,77.2910357,Delhi,Delhi,India,overpass,12713991931,2026-03-14T21:24:49.995096+00:00
osm_13146724911,Shershah Cold Storage,depot,28.7140702,77.1720676,Delhi,Delhi,India,overpass,13146724911,2026-03-14T21:24:49.995096+00:00
osm_13413957328,Aaradhya Enterpeises,works,28.6198939,76.996541,Delhi,Delhi,India,overpass,13413957328,2026-03-14T21:24:49.995096+00:00
osm_71295897,Sector 8,industrial,28.5944591,77.3265003,Delhi,Delhi,India,overpass,71295897,2026-03-14T21:24:49.995096+00:00
osm_71297383,Sector 7,industrial,28.5950136,77.3165751,Delhi,Delhi,India,overpass,71297383,2026-03-14T21:24:49.995096+00:00
osm_76700057,Delhi Industrial Site 76700057,industrial,28.6550754,77.326962,Delhi,Delhi,India,overpass,76700057,2026-03-14T21:24:49.995096+00:00
osm_76849193,Delhi Industrial Site 76849193,depot,28.6207551,77.3009568,Delhi,Delhi,India,overpass,76849193,2026-03-14T21:24:49.995096+00:00
osm_77001373,M.E.A. Stores,industrial,28.6010841,77.3011768,Delhi,Delhi,India,overpass,77001373,2026-03-14T21:24:49.995096+00:00
osm_78542610,Rithala Power Plant,industrial,28.7330743,77.101785,Delhi,Delhi,India,overpass,78542610,2026-03-14T21:24:49.995096+00:00
osm_78799847,Delhi Industrial Site 78799847,wastewater_plant,28.7279486,77.1857227,Delhi,Delhi,India,overpass,78799847,2026-03-14T21:24:49.995096+00:00
osm_80511305,Sewage Treatment Plant - Okhla,wastewater_plant,28.5471299,77.2834582,Delhi,Delhi,India,overpass,80511305,2026-03-14T21:24:49.995096+00:00
osm_80511312,Tughlakabad Inland Container Depot,industrial,28.5090709,77.2890381,Delhi,Delhi,India,overpass,80511312,2026-03-14T21:24:49.995096+00:00
osm_139071683,Pragati-I Combined Cycle Gas Power Station,industrial,28.6167647,77.2524477,Delhi,Delhi,India,overpass,139071683,2026-03-14T21:24:49.995096+00:00
osm_139071684,Delhi Industrial Site 139071684,industrial,28.587865,77.2656932,Delhi,Delhi,India,overpass,139071684,2026-03-14T21:24:49.995096+00:00
osm_139071685,Indraprastha Gas Turbine Power Station,industrial,28.6190348,77.2502162,Delhi,Delhi,India,overpass,139071685,2026-03-14T21:24:49.995096+00:00
osm_139071814,Delhi Industrial Site 139071814,industrial,28.6241058,77.2498267,Delhi,Delhi,India,overpass,139071814,2026-03-14T21:24:49.995096+00:00
osm_150528513,Delhi Industrial Site 150528513,industrial,28.8761295,77.1097783,Delhi,Delhi,India,overpass,150528513,2026-03-14T21:24:49.995096+00:00
osm_150532645,Delhi Industrial Site 150532645,industrial,28.6773094,77.0228998,Delhi,Delhi,India,overpass,150532645,2026-03-14T21:24:49.995096+00:00
osm_153965502,Seemapuri Depot,depot,28.6844696,77.3306448,Delhi,Delhi,India,overpass,153965502,2026-03-14T21:24:49.995096+00:00
osm_153965563,Delhi Industrial Site 153965563,industrial,28.6849656,77.1147218,Delhi,Delhi,India,overpass,153965563,2026-03-14T21:24:49.995096+00:00
osm_153965565,Delhi Industrial Site 153965565,industrial,28.6775017,77.1283588,Delhi,Delhi,India,overpass,153965565,2026-03-14T21:24:49.995096+00:00
osm_171500938,Delhi Industrial Site 171500938,industrial,28.6857512,77.0990254,Delhi,Delhi,India,overpass,171500938,2026-03-14T21:24:49.995096+00:00
osm_171606293,Delhi Industrial Site 171606293,industrial,28.680936,77.1470055,Delhi,Delhi,India,overpass,171606293,2026-03-14T21:24:49.995096+00:00
osm_171606321,Wazirpur Depot,depot,28.6938707,77.1560145,Delhi,Delhi,India,overpass,171606321,2026-03-14T21:24:49.995096+00:00
osm_171640519,Delhi Industrial Site 171640519,industrial,28.6858702,77.0891596,Delhi,Delhi,India,overpass,171640519,2026-03-14T21:24:49.995096+00:00
osm_172301971,Pragati-III Combined Cycle Power Plant,industrial,28.7964571,77.0717398,Delhi,Delhi,India,overpass,172301971,2026-03-14T21:24:49.995096+00:00
osm_172701685,Badarpur Thermal Power Station,industrial,28.5044447,77.3079125,Delhi,Delhi,India,overpass,172701685,2026-03-14T21:24:49.995096+00:00
osm_174497293,Mother Dairy,industrial,28.6219191,77.2875443,Delhi,Delhi,India,overpass,174497293,2026-03-14T21:24:49.995096+00:00
osm_189598819,All India Radio SW,communication,28.8223449,77.1260113,Delhi,Delhi,India,overpass,189598819,2026-03-14T21:24:49.995096+00:00
osm_204969676,Delhi Industrial Site 204969676,industrial,28.5173529,77.2850181,Delhi,Delhi,India,overpass,204969676,2026-03-14T21:24:49.995096+00:00
osm_204969700,Kushak Nallah Bus Depot,depot,28.5793518,77.2303329,Delhi,Delhi,India,overpass,204969700,2026-03-14T21:24:49.995096+00:00
osm_204980210,Delhi Industrial Site 204980210,industrial,28.7746815,77.1206587,Delhi,Delhi,India,overpass,204980210,2026-03-14T21:24:49.995096+00:00
osm_204980211,Delhi Industrial Site 204980211,industrial,28.7958383,77.1480303,Delhi,Delhi,India,overpass,204980211,2026-03-14T21:24:49.995096+00:00
osm_204980217,Delhi Industrial Site 204980217,industrial,28.7759479,77.1456212,Delhi,Delhi,India,overpass,204980217,2026-03-14T21:24:49.995096+00:00
osm_206152771,Delhi Industrial Site 206152771,industrial,28.6893744,76.9838305,Delhi,Delhi,India,overpass,206152771,2026-03-14T21:24:49.995096+00:00
osm_206152783,Delhi Industrial Site 206152783,industrial,28.8018358,77.1298422,Delhi,Delhi,India,overpass,206152783,2026-03-14T21:24:49.995096+00:00
osm_206564484,Delhi Industrial Site 206564484,industrial,28.6434112,77.1815835,Delhi,Delhi,India,overpass,206564484,2026-03-14T21:24:49.995096+00:00
osm_215069454,Anaj Mandi,marketplace,28.620259,76.9741432,Delhi,Delhi,India,overpass,215069454,2026-03-14T21:24:49.995096+00:00
osm_217961416,Delhi Industrial Site 217961416,depot,28.6190846,76.9737578,Delhi,Delhi,India,overpass,217961416,2026-03-14T21:24:49.995096+00:00
osm_261546480,Delhi Industrial Site 261546480,industrial,28.7467127,77.132046,Delhi,Delhi,India,overpass,261546480,2026-03-14T21:24:49.995096+00:00
osm_261665829,DSIIDC MLM Hub,industrial,28.6952785,77.0310516,Delhi,Delhi,India,overpass,261665829,2026-03-14T21:24:49.995096+00:00
osm_262038315,Kair Depot,depot,28.6201931,76.9300966,Delhi,Delhi,India,overpass,262038315,2026-03-14T21:24:49.995096+00:00
osm_262501903,Delhi Industrial Site 262501903,industrial,28.6560941,77.1478844,Delhi,Delhi,India,overpass,262501903,2026-03-14T21:24:49.995096+00:00
osm_262501904,Scooters India Ltd,industrial,28.6552529,77.1495428,Delhi,Delhi,India,overpass,262501904,2026-03-14T21:24:49.995096+00:00
osm_262501905,Delhi Industrial Site 262501905,industrial,28.6575865,77.1459449,Delhi,Delhi,India,overpass,262501905,2026-03-14T21:24:49.995096+00:00
osm_262647904,Jwalapuri PVC Market,industrial,28.6715747,77.0788232,Delhi,Delhi,India,overpass,262647904,2026-03-14T21:24:49.995096+00:00
osm_262673255,Delhi Industrial Site 262673255,industrial,28.670842,77.1139479,Delhi,Delhi,India,overpass,262673255,2026-03-14T21:24:49.995096+00:00
osm_262717867,Keshavpur Depot,depot,28.6529379,77.088924,Delhi,Delhi,India,overpass,262717867,2026-03-14T21:24:49.995096+00:00
osm_263369123,L-Band Radar and HF Transmitting Station,communication,28.5275475,77.0541652,Delhi,Delhi,India,overpass,263369123,2026-03-14T21:24:49.995096+00:00
osm_263592614,Delhi Industrial Site 263592614,industrial,28.6692156,76.9626741,Delhi,Delhi,India,overpass,263592614,2026-03-14T21:24:49.995096+00:00
osm_263667533,Delhi Industrial Site 263667533,industrial,28.681379,76.9829522,Delhi,Delhi,India,overpass,263667533,2026-03-14T21:24:49.995096+00:00
osm_263667538,Delhi Industrial Site 263667538,industrial,28.6876606,77.0071638,Delhi,Delhi,India,overpass,263667538,2026-03-14T21:24:49.995096+00:00
osm_264282209,Delhi Jal Board,water,28.54097,77.0588499,Delhi,Delhi,India,overpass,264282209,2026-03-14T21:24:49.995096+00:00
osm_264746031,Delhi Industrial Site 264746031,industrial,28.6889489,77.1338483,Delhi,Delhi,India,overpass,264746031,2026-03-14T21:24:49.995096+00:00
osm_265015896,Bawa Potteries,industrial,28.522042,77.1653199,Delhi,Delhi,India,overpass,265015896,2026-03-14T21:24:49.995096+00:00
osm_265031889,Delhi Jal Board,wastewater_treatment,28.5638923,77.2756915,Delhi,Delhi,India,overpass,265031889,2026-03-14T21:24:49.995096+00:00
osm_265165726,Delhi Industrial Site 265165726,industrial,28.6525467,77.1204826,Delhi,Delhi,India,overpass,265165726,2026-03-14T21:24:49.995096+00:00
osm_265401583,Delhi Industrial Site 265401583,wastewater_plant,28.6571673,77.0516554,Delhi,Delhi,India,overpass,265401583,2026-03-14T21:24:49.995096+00:00
osm_265426119,Okhla Ph III,industrial,28.5513728,77.2702101,Delhi,Delhi,India,overpass,265426119,2026-03-14T21:24:49.995096+00:00
osm_265426120,Delhi Industrial Site 265426120,industrial,28.5529175,77.2797222,Delhi,Delhi,India,overpass,265426120,2026-03-14T21:24:49.995096+00:00
osm_277894737,Delhi Industrial Site 277894737,industrial,28.6750676,77.3305742,Delhi,Delhi,India,overpass,277894737,2026-03-14T21:24:49.995096+00:00
